"Municipality_code","Order","Municipality_description","Province_code","Province_initials","nschools","Students_grade_1","Classes_grade_1","Students_per_class_1","Students_grade_2","Classes_grade_2","Students_per_class_2","Students_grade_3","Classes_grade_3","Students_per_class_3","Students_grade_4","Classes_grade_4","Students_per_class_4","Students_grade_5","Classes_grade_5","Students_per_class_5","Students_grade_6","Classes_grade_6","Students_per_class_6","Students_grade_7","Classes_grade_7","Students_per_class_7","Students_grade_8","Classes_grade_8","Students_per_class_8","Students_grade_9","Classes_grade_9","Students_per_class_9","Students_grade_10","Classes_grade_10","Students_per_class_10","Students_grade_11","Classes_grade_11","Students_per_class_11","Students_grade_12","Classes_grade_12","Students_per_class_12","Students_grade_13","Classes_grade_13","Students_per_class_13","Tot_Students","Tot_Classes","Students_per_class_Tot","Availability","Inner_area"
"089017","Middle","Siracusa",89,"SR",15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1192,55,21.6727272727273,1229,57,21.5614035087719,1180,57,20.7017543859649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3601,169,21.3076923076923,0.9375,0
"089017","Primary","Siracusa",89,"SR",24,1031,52,19.8269230769231,1044,51,20.4705882352941,1057,53,19.9433962264151,1158,56,20.6785714285714,1064,52,20.4615384615385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5354,264,20.280303030303,0.96,0
"089018","Middle","Solarino",89,"SR",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,4,17.5,74,4,18.5,80,5,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,13,17.2307692307692,1,0
"089018","Primary","Solarino",89,"SR",1,65,3,21.6666666666667,62,3,20.6666666666667,73,4,18.25,60,3,20,85,4,21.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345,17,20.2941176470588,1,0
"089019","High","Sortino",89,"SR",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,20,18,1,18,0,0,0,19,1,19,57,3,19,0.5,1
"089019","Middle","Sortino",89,"SR",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,4,18.25,82,4,20.5,78,4,19.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,12,19.4166666666667,1,1
"089019","Primary","Sortino",89,"SR",2,79,4,19.75,54,3,18,65,4,16.25,91,4,22.75,83,4,20.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,372,19,19.5789473684211,1,1
"089020","Middle","Portopalo Di Capo Passero",89,"SR",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,2,20.5,38,2,19,37,2,18.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,6,19.3333333333333,1,1
"089020","Primary","Portopalo Di Capo Passero",89,"SR",1,34,2,17,38,2,19,46,3,15.3333333333333,40,2,20,35,2,17.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,11,17.5454545454545,1,1
"089021","Middle","Priolo Gargallo",89,"SR",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,6,19.3333333333333,138,7,19.7142857142857,133,8,16.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387,21,18.4285714285714,1,0
"089021","Primary","Priolo Gargallo",89,"SR",4,107,6,17.8333333333333,127,7,18.1428571428571,111,6,18.5,86,5,17.2,107,5,21.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,538,29,18.551724137931,1,0
"090001","Middle","Aggius",90,"SS",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,15,17,1,17,19,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,3,17,1,1
"090001","Primary","Aggius",90,"SS",1,12,1,12,0,0,0,0,0,0,12,1,12,16,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,3,13.3333333333333,1,1
"090002","Middle","Ala' Dei Sardi",90,"SS",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,2,13,12,1,12,20,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,4,14.5,1,1
"090002","Primary","Ala' Dei Sardi",90,"SS",1,13,1,13,19,1,19,17,1,17,19,1,19,26,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,6,15.6666666666667,1,1
"090003","High","Alghero",90,"SS",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,25,20.04,505,27,18.7037037037037,437,22,19.8636363636364,409,21,19.4761904761905,390,23,16.9565217391304,2242,118,19,0.909090909090909,1
"090003","Middle","Alghero",90,"SS",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327,16,20.4375,327,15,21.8,312,16,19.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,966,47,20.5531914893617,0.75,1
"090003","Primary","Alghero",90,"SS",10,306,16,19.125,307,16,19.1875,316,16,19.75,293,14,20.9285714285714,275,12,22.9166666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1497,74,20.2297297297297,1,1
"090006","High","Arzachena",90,"SS",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,10,21.2,192,11,17.4545454545455,230,12,19.1666666666667,173,10,17.3,135,9,15,942,52,18.1153846153846,1,1
"090006","Middle","Arzachena",90,"SS",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,7,19.5714285714286,123,6,20.5,149,7,21.2857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,409,20,20.45,1,1
"090006","Primary","Arzachena",90,"SS",3,126,6,21,137,7,19.5714285714286,136,7,19.4285714285714,116,6,19.3333333333333,111,5,22.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,626,31,20.1935483870968,1,1
"090008","Middle","Benetutti",90,"SS",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,18,12,1,12,22,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,4,13,1,1
"090008","Primary","Benetutti",90,"SS",1,13,1,13,12,1,12,13,1,13,10,1,10,14,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,5,12.4,1,1
"090009","Middle","Berchidda",90,"SS",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,2,13,22,1,22,20,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,4,17,1,1
"090009","Primary","Berchidda",90,"SS",1,21,1,21,15,1,15,18,1,18,22,1,22,22,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,5,19.6,1,1
"090011","Middle","Bonnanaro",90,"SS",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,13,12,1,12,13,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,3,12.6666666666667,1,1
"090012","High","Bono",90,"SS",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,3,16.6666666666667,68,4,17,40,3,13.3333333333333,42,2,21,44,3,14.6666666666667,244,15,16.2666666666667,0.75,1
"090012","Middle","Bono",90,"SS",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,3,19.3333333333333,61,3,20.3333333333333,55,3,18.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,9,19.3333333333333,1,1
"090012","Primary","Bono",90,"SS",1,34,2,17,28,2,14,26,2,13,44,2,22,51,2,25.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,10,18.3,1,1
